RaceYear,RaceName,Driver,Stint,Compound,stint_laps_sampled,early_stint_median_loss,late_stint_median_loss,pace_fade_seconds
2018,Abu Dhabi Grand Prix,ALO,1,ULTRASOFT,20,1.8559999999999945,1.2680000000000007,-0.5879999999999939
2018,Abu Dhabi Grand Prix,ALO,2,SUPERSOFT,26,2.7890000000000015,0.6370000000000005,-2.152000000000001
2018,Abu Dhabi Grand Prix,BOT,1,ULTRASOFT,9,0.5320000000000107,0.2750000000000057,-0.257000000000005
2018,Abu Dhabi Grand Prix,BOT,2,SUPERSOFT,22,0.6400000000000006,2.5,1.8599999999999994
2018,Abu Dhabi Grand Prix,BOT,3,ULTRASOFT,14,1.0019999999999953,3.774000000000001,2.7720000000000056
2018,Abu Dhabi Grand Prix,ERI,1,SUPERSOFT,18,1.8979999999999961,0.23100000000000875,-1.6669999999999874
2018,Abu Dhabi Grand Prix,GAS,1,SUPERSOFT,22,2.835000000000008,1.2169999999999987,-1.6180000000000092
2018,Abu Dhabi Grand Prix,GAS,2,ULTRASOFT,16,1.7579999999999956,2.2120000000000033,0.45400000000000773
2018,Abu Dhabi Grand Prix,GRO,2,SUPERSOFT,46,4.029000000000011,0.16900000000001114,-3.8599999999999994
2018,Abu Dhabi Grand Prix,HAM,2,SUPERSOFT,47,3.5670000000000073,0.42900000000000205,-3.1380000000000052
2018,Abu Dhabi Grand Prix,HAR,2,SUPERSOFT,48,4.25,0.5339999999999918,-3.716000000000008
2018,Abu Dhabi Grand Prix,LEC,2,SUPERSOFT,47,3.6799999999999926,0.1490000000000009,-3.5309999999999917
2018,Abu Dhabi Grand Prix,MAG,1,SUPERSOFT,34,3.9140000000000015,0.26300000000000523,-3.6509999999999962
2018,Abu Dhabi Grand Prix,MAG,2,ULTRASOFT,12,1.0060000000000002,0.578000000000003,-0.42799999999999727
2018,Abu Dhabi Grand Prix,OCO,1,HYPERSOFT,11,1.382000000000005,2.575000000000003,1.1929999999999978
