Compound,PitInLap,Count
SOFT,31,1
SOFT,38,1
SOFT,42,1
SOFT,43,2
SOFT,46,1
SOFT,52,1
SOFT,53,1
SOFT,65,1
ULTRASOFT,14,1
ULTRASOFT,18,1
ULTRASOFT,20,3
ULTRASOFT,21,1
ULTRASOFT,22,1
ULTRASOFT,25,2
ULTRASOFT,28,1
ULTRASOFT,29,1
WET,46,1
MEDIUM,47,1
MEDIUM,50,1
SOFT,23,1
SOFT,25,1
SOFT,31,1
SOFT,38,1
SOFT,39,3
SOFT,40,1
SOFT,44,1
ULTRASOFT,6,1
ULTRASOFT,14,1
ULTRASOFT,15,1
ULTRASOFT,22,1
ULTRASOFT,24,1
ULTRASOFT,25,1
ULTRASOFT,29,1
ULTRASOFT,31,1
ULTRASOFT,32,1
MEDIUM,8,1
MEDIUM,30,1
MEDIUM,35,1
MEDIUM,38,1
MEDIUM,39,1
SOFT,2,1
SOFT,4,2
SOFT,5,1
SOFT,14,1
SOFT,23,3
SOFT,24,1
SOFT,26,1
SOFT,29,1
SOFT,32,1
SOFT,37,1
SUPERSOFT,17,1
SUPERSOFT,21,1
SUPERSOFT,24,1
SUPERSOFT,26,2
SUPERSOFT,28,1
SUPERSOFT,29,1
HYPERSOFT,5,1
HYPERSOFT,11,1
HYPERSOFT,12,1
HYPERSOFT,13,1
HYPERSOFT,16,1
SUPERSOFT,1,2
SUPERSOFT,26,1
SUPERSOFT,30,2
SUPERSOFT,43,1
SUPERSOFT,44,1
SUPERSOFT,47,2
SUPERSOFT,48,2
ULTRASOFT,10,1
ULTRASOFT,11,3
ULTRASOFT,12,2
ULTRASOFT,13,1
ULTRASOFT,17,2
ULTRASOFT,23,1
ULTRASOFT,24,1
ULTRASOFT,38,1
ULTRASOFT,60,1
ULTRASOFT,62,1
HYPERSOFT,7,1
HYPERSOFT,12,1
HYPERSOFT,13,1
HYPERSOFT,16,2
HYPERSOFT,17,3
HYPERSOFT,19,2
HYPERSOFT,21,1
HYPERSOFT,23,1
HYPERSOFT,37,1
HYPERSOFT,59,1
SUPERSOFT,34,1
SUPERSOFT,68,1
SUPERSOFT,72,1
ULTRASOFT,9,1
ULTRASOFT,14,1
ULTRASOFT,15,1
ULTRASOFT,17,2
ULTRASOFT,20,1
ULTRASOFT,47,1
ULTRASOFT,49,1
ULTRASOFT,50,1
ULTRASOFT,71,1
HYPERSOFT,3,1
HYPERSOFT,8,1
HYPERSOFT,9,1
HYPERSOFT,10,2
HYPERSOFT,11,1
HYPERSOFT,12,1
SOFT,4,2
SOFT,32,1
SOFT,35,1
SOFT,37,1
SOFT,39,1
SOFT,43,1
ULTRASOFT,5,1
ULTRASOFT,7,1
ULTRASOFT,10,1
ULTRASOFT,11,1
ULTRASOFT,12,1
ULTRASOFT,13,1
ULTRASOFT,14,1
ULTRASOFT,18,1
HYPERSOFT,14,2
HYPERSOFT,15,2
HYPERSOFT,16,2
HYPERSOFT,17,2
HYPERSOFT,22,1
HYPERSOFT,26,1
HYPERSOFT,27,1
HYPERSOFT,48,1
SOFT,36,1
SOFT,39,1
SOFT,40,1
SOFT,45,1
ULTRASOFT,3,1
ULTRASOFT,26,1
ULTRASOFT,33,1
ULTRASOFT,36,1
ULTRASOFT,37,1
ULTRASOFT,38,2
ULTRASOFT,43,1
ULTRASOFT,44,1
MEDIUM,24,1
MEDIUM,33,1
MEDIUM,35,1
MEDIUM,40,1
MEDIUM,41,2
MEDIUM,46,1
SOFT,17,1
SOFT,19,1
SOFT,20,2
SOFT,25,3
SOFT,26,1
SOFT,29,1
SOFT,32,1
SOFT,33,1
SOFT,34,2
SUPERSOFT,21,1
UNKNOWN,1,2
SOFT,5,1
SOFT,22,1
SOFT,29,1
SOFT,30,1
SOFT,31,1
SOFT,36,1
SOFT,37,1
SOFT,40,1
SUPERSOFT,1,2
SUPERSOFT,10,3
SUPERSOFT,11,1
SUPERSOFT,23,1
SUPERSOFT,24,1
SUPERSOFT,26,1
SUPERSOFT,27,1
SUPERSOFT,30,1
ULTRASOFT,1,2
ULTRASOFT,2,1
ULTRASOFT,21,1
ULTRASOFT,22,1
ULTRASOFT,23,1
ULTRASOFT,25,1
UNKNOWN,38,1
HARD,23,1
HARD,24,1
HARD,26,1
HARD,32,1
HARD,38,2
HARD,40,1
HARD,41,1
HARD,42,1
MEDIUM,1,1
MEDIUM,5,1
MEDIUM,12,1
MEDIUM,13,1
MEDIUM,18,1
MEDIUM,20,1
MEDIUM,22,1
MEDIUM,25,1
MEDIUM,26,1
MEDIUM,29,1
MEDIUM,37,1
SOFT,8,2
SOFT,11,1
SOFT,12,2
SOFT,18,1
SOFT,45,1
HARD,1,1
HARD,29,1
MEDIUM,26,2
MEDIUM,27,2
MEDIUM,28,1
MEDIUM,37,1
SOFT,1,1
SOFT,12,1
SOFT,13,2
SOFT,14,3
SOFT,15,3
SOFT,23,1
SOFT,25,1
SOFT,28,1
SOFT,42,1
SOFT,44,1
HARD,13,1
HARD,50,1
HARD,62,1
MEDIUM,19,1
MEDIUM,21,1
MEDIUM,25,1
MEDIUM,26,1
MEDIUM,27,1
MEDIUM,28,1
MEDIUM,30,1
MEDIUM,31,1
MEDIUM,32,1
MEDIUM,34,1
MEDIUM,35,1
MEDIUM,41,1
MEDIUM,46,1
SOFT,11,1
SOFT,21,1
SOFT,22,1
SOFT,23,1
SOFT,24,1
SOFT,25,2
MEDIUM,14,1
MEDIUM,23,1
MEDIUM,25,1
MEDIUM,31,1
MEDIUM,33,1
MEDIUM,34,3
MEDIUM,38,1
MEDIUM,39,2
MEDIUM,42,1
SOFT,5,1
SOFT,6,1
SOFT,7,2
SOFT,8,1
SOFT,9,1
SOFT,10,3
SOFT,11,1
SOFT,12,3
SOFT,13,1
SOFT,14,1
SOFT,38,1
SOFT,47,1
HARD,40,1
MEDIUM,11,1
MEDIUM,16,1
MEDIUM,23,1
MEDIUM,24,1
MEDIUM,26,1
MEDIUM,32,1
MEDIUM,33,2
MEDIUM,34,1
MEDIUM,35,1
MEDIUM,36,1
MEDIUM,37,1
MEDIUM,38,3
MEDIUM,40,1
SOFT,1,2
SOFT,4,1
SOFT,8,1
SOFT,9,3
SOFT,10,2
SOFT,11,1
SOFT,12,4
SOFT,13,2
SOFT,14,1
SOFT,16,1
SOFT,24,1
SOFT,25,1
SOFT,27,1
SOFT,32,1
SOFT,34,1
SOFT,39,1
SOFT,53,1
MEDIUM,2,1
MEDIUM,23,1
MEDIUM,24,1
MEDIUM,29,1
MEDIUM,30,2
MEDIUM,31,3
MEDIUM,33,1
SOFT,1,3
SOFT,11,1
SOFT,13,1
SOFT,14,1
SOFT,15,2
SOFT,16,1
SOFT,19,1
SOFT,21,1
SOFT,22,1
SOFT,23,1
SOFT,25,1
HARD,41,1
HARD,44,1
HARD,53,2
HARD,54,1
MEDIUM,8,1
MEDIUM,20,1
MEDIUM,23,2
MEDIUM,27,1
MEDIUM,29,1
MEDIUM,36,1
MEDIUM,45,1
MEDIUM,46,1
MEDIUM,47,2
MEDIUM,49,1
MEDIUM,50,1
MEDIUM,53,2
MEDIUM,54,2
MEDIUM,65,1
MEDIUM,66,1
SOFT,17,1
SOFT,20,2
SOFT,21,2
SOFT,22,1
SOFT,24,1
SOFT,25,1
SOFT,26,2
SOFT,27,2
SOFT,28,1
SOFT,29,1
SOFT,40,1
SOFT,43,1
SOFT,44,1
SOFT,46,1
SOFT,53,1
SOFT,66,2
HARD,6,1
HARD,9,1
HARD,24,1
HARD,38,1
HARD,39,1
MEDIUM,12,1
MEDIUM,13,2
MEDIUM,16,1
MEDIUM,17,1
MEDIUM,18,1
MEDIUM,20,5
MEDIUM,21,3
MEDIUM,35,1
MEDIUM,45,1
SOFT,1,2
SOFT,12,2
SOFT,13,4
SOFT,20,1
SOFT,46,1
HARD,33,1
HARD,38,1
HARD,39,1
HARD,45,1
HARD,48,1
HARD,58,1
HARD,60,1
HARD,67,1
MEDIUM,1,1
MEDIUM,6,1
MEDIUM,8,1
MEDIUM,9,1
MEDIUM,11,1
MEDIUM,12,1
MEDIUM,26,1
MEDIUM,28,1
MEDIUM,30,1
MEDIUM,33,1
MEDIUM,34,1
SOFT,3,1
SOFT,7,1
SOFT,8,1
SOFT,16,1
HARD,16,1
HARD,17,1
HARD,30,1
HARD,33,1
HARD,34,1
HARD,35,2
HARD,36,3
HARD,39,1
HARD,42,1
HARD,44,1
HARD,49,1
MEDIUM,1,2
MEDIUM,7,1
MEDIUM,17,1
MEDIUM,18,1
MEDIUM,20,2
MEDIUM,21,1
MEDIUM,22,3
MEDIUM,25,2
MEDIUM,26,1
MEDIUM,30,1
MEDIUM,34,1
MEDIUM,53,1
SOFT,7,1
SOFT,8,1
SOFT,9,1
SOFT,11,1
SOFT,18,1
SOFT,19,2
SOFT,41,1
SOFT,50,1
HARD,31,2
HARD,32,1
HARD,33,1
HARD,34,2
