tyre_life_bin,median_pace_delta,n
1-10,-0.6859999999999928,779
11-20,-1.1730000000000018,1920
21-30,-1.257000000000005,1565
31-40,-1.2520000000000024,618
41-50,-1.1450000000000102,117
51+,-1.3489999999999895,27
