RaceYear,RaceName,Driver,Stint,Compound,degradation_slope_seconds_per_lap,intercept,n_laps,min_tyre_life,max_tyre_life
2018,Australian Grand Prix,MAG,1,ULTRASOFT,-0.051911764705881984,1.5010294117646932,17,7.0,23.0
2018,Australian Grand Prix,OCO,1,ULTRASOFT,-0.09296181630546956,1.9600227038183635,18,4.0,21.0
2018,Australian Grand Prix,OCO,2,SOFT,-0.04494871794871787,2.536982905982909,27,9.0,35.0
2018,Australian Grand Prix,PER,1,ULTRASOFT,-0.04749824561403484,1.1347403508771898,19,4.0,22.0
2018,Australian Grand Prix,PER,2,SOFT,-0.07490109890109907,2.60721937321938,27,8.0,34.0
2018,Australian Grand Prix,RAI,1,ULTRASOFT,-0.1906818181818189,3.4736212121212224,12,8.0,19.0
2018,Australian Grand Prix,RAI,2,SOFT,-0.05612705277948534,2.4525470273118413,33,2.0,40.0
2018,Australian Grand Prix,RIC,1,SUPERSOFT,-0.08168051948051945,3.2348545454545494,21,7.0,27.0
2018,Australian Grand Prix,RIC,2,SOFT,-0.05393467643467644,2.3737218152218214,27,6.0,32.0
2018,Australian Grand Prix,SAI,1,ULTRASOFT,-0.09857352941176482,2.2676029411764684,17,7.0,23.0
2018,Australian Grand Prix,SAI,2,SOFT,-0.05230086029322673,1.8649441415242918,28,2.0,36.0
2018,Australian Grand Prix,STR,1,SUPERSOFT,-0.05926090225563891,1.3236721804511271,20,4.0,23.0
2018,Australian Grand Prix,STR,3,ULTRASOFT,-0.07024725274725278,2.413807895807901,27,3.0,29.0
2018,Australian Grand Prix,VAN,1,ULTRASOFT,-0.06174887218045104,1.703709774436083,20,4.0,23.0
2018,Australian Grand Prix,VAN,2,SUPERSOFT,-0.09481807081807099,3.204954008954014,27,7.0,33.0
2018,Australian Grand Prix,VER,1,SUPERSOFT,-0.09580882352941164,2.3386029411764637,16,7.0,22.0
2018,Australian Grand Prix,VER,2,SOFT,-0.05315897237782505,2.397200309059308,29,2.0,37.0
2018,Australian Grand Prix,VET,1,ULTRASOFT,-0.061750375939849604,1.7673315789473647,20,8.0,27.0
2018,Australian Grand Prix,VET,2,SOFT,-0.01065934065934065,0.8604533984534045,27,6.0,32.0
