RaceYear,median_unique_sequences,median_entropy,median_top_strategy_share
2018,9.0,2.827567157116929,0.3
2019,7.0,2.4464393446710155,0.4
2020,9.0,2.8219280948873626,0.35
2021,7.0,2.2807571866997955,0.45
2022,7.5,2.346039033895928,0.35
2023,9.0,2.653055907333276,0.38421052631578945
2024,6.0,1.983485813378005,0.475
2025,7.0,2.0954618442383217,0.45
