starting_compound,mean_places_gained,median_places_gained,gain_rate,n
HARD,2.7017543859649122,3.0,0.6842105263157895,285
ULTRASOFT,-1.0294117647058822,1.0,0.5588235294117647,34
UNKNOWN,0.2435064935064935,0.0,0.4837662337662338,308
SUPERSOFT,-0.46,0.0,0.48,50
WET,0.015873015873015872,0.0,0.47619047619047616,63
INTERMEDIATE,0.05429864253393665,0.0,0.47058823529411764,221
MEDIUM,-0.3114231014677728,0.0,0.44926611359285257,1567
SOFT,-0.41477949940405245,0.0,0.43861740166865315,839
