Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:08:52.635000,10,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:07:04.213000,2018-05-13 13:13:11.037,24,0.0,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.635,424.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.015151515151515152,18,0.05555555555555555,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0 days 00:11:43.941000,11,,2.0,,,0 days 00:01:05.386000,0 days 00:00:48.829000,0 days 00:00:40.228000,0 days 00:10:14.971000,0 days 00:11:03.774000,0 days 00:11:44.088000,113.0,99.0,98.0,210.0,False,SOFT,1.0,True,Force India,0 days 00:09:09.498000,2018-05-13 13:15:16.322,4,13.0,False,0.0,False,False,0.0,65.386,48.829,40.228,614.971,663.774,704.088,703.941,549.498,107.59703991988027,279.0,51.115015561492065,8457.416518256048,12990.0,26.819757119131193,28.607701705812485,0.3416095890410959,399.0,1.0,1168.0,35.86011251791524,0.0486111111185891,2.456335616438356,6.0,0,0.0,0.0,0.030303030303030304,18,0.05555555555555555,-17.0,0.0,0.0,0.0,0.0,27.5,-25.5,0.027129597054647264,10.755357612525316,546986.0286974316,2885.7264773886523,42931.21892803223,2.919064337299148
3,0 days 00:13:56.657000,11,0 days 00:02:12.716000,3.0,,,0 days 00:00:45.412000,0 days 00:00:48.567000,0 days 00:00:38.737000,0 days 00:12:29.368000,0 days 00:13:17.935000,0 days 00:13:56.672000,97.0,155.0,163.0,178.0,True,SOFT,2.0,True,Force India,0 days 00:11:43.941000,2018-05-13 13:17:50.765,4,13.0,False,0.0,False,False,132.716,45.412,48.567,38.737,749.368,797.935,836.672,836.657,703.941,124.8029433709047,252.0,45.13435786760821,9494.669006657827,13149.0,37.17979280219869,33.67529759355518,0.3667992047713718,369.0,1.0,1006.0,44.113350777151666,0.1336111111322679,2.774353876739563,6.0,0,0.0,132.716,0.045454545454545456,18,0.1111111111111111,-16.0,48.989000000000004,132.716,0.0,0.0,27.5,-24.5,0.02216638717305089,7.996633250734136,619213.7612240671,4640.147575634774,46052.28610386384,2.7664303630958185
4,0 days 00:16:10.869000,11,0 days 00:02:14.212000,4.0,,,0 days 00:00:43.143000,0 days 00:00:46.168000,0 days 00:00:44.901000,0 days 00:14:39.815000,0 days 00:15:25.983000,0 days 00:16:10.884000,64.0,151.0,237.0,258.0,False,SOFT,3.0,True,Force India,0 days 00:13:56.657000,2018-05-13 13:20:03.481,4,13.0,False,0.0,False,False,134.212,43.143,46.168,44.901,879.815,925.983,970.884,970.869,836.657,123.65428345204289,270.0,54.76755436470498,8959.691028829384,12926.0,36.638466749397125,36.17290681766098,0.3133004926108374,318.0,1.0,1015.0,72.36072248635872,0.0413888888924702,2.9113300492610836,7.0,0,1.495999999999981,266.928,0.06060606060606061,18,0.16666666666666666,-15.0,50.484999999999985,133.464,1.0578317446550616,0.0,27.5,-23.5,0.013631272513516316,8.14252003133524,638098.5518127796,4530.503352678201,39322.062137749635,1.6855652351983876
5,0 days 00:18:18.343000,11,0 days 00:02:07.474000,5.0,,,0 days 00:00:37.976000,0 days 00:00:46.577000,0 days 00:00:42.921000,0 days 00:16:48.860000,0 days 00:17:35.437000,0 days 00:18:18.358000,152.0,89.0,247.0,282.0,True,SOFT,4.0,True,Force India,0 days 00:16:10.869000,2018-05-13 13:22:17.693,4,13.0,False,0.0,False,False,127.474,37.976,46.577,42.921,1008.86,1055.437,1098.358,1098.343,970.869,130.0500509103367,289.0,60.60620207116756,9311.638218326087,12934.0,38.63673576676508,36.42518131851619,0.3360995850622407,324.0,1.0,964.0,66.95277214361157,0.1033333332998154,2.940871369294606,7.0,0,-6.737999999999985,394.402,0.07575757575757576,18,0.2222222222222222,-14.0,43.747,131.46733333333333,3.5382958233213464,0.0,27.5,-22.5,0.014716103088283099,7.3559681457854635,758686.7641412823,5024.709453477025,42136.21649494909,1.91382995583298
6,0 days 00:20:20.860000,11,0 days 00:02:02.517000,6.0,,,0 days 00:00:35.886000,0 days 00:00:52.438000,0 days 00:00:34.193000,0 days 00:18:54.244000,0 days 00:19:46.682000,0 days 00:20:20.875000,118.0,99.0,279.0,246.0,True,SOFT,5.0,True,Force India,0 days 00:18:18.343000,2018-05-13 13:24:25.167,41,13.0,False,0.0,False,False,122.517,35.886,52.438,34.193,1134.244,1186.682,1220.875,1220.86,1098.343,135.67883092816066,282.0,52.14466982743435,9440.434027791867,12886.0,40.08465129601156,36.91099801826463,0.3214670981661273,298.0,1.0,927.0,68.26179529842155,0.1122222222184063,3.1812297734627832,7.0,0,-4.957000000000008,516.919,0.09090909090909091,18,0.2777777777777778,-13.0,38.78999999999999,129.22975,5.326675784827404,0.0,27.5,-21.5,0.014437974004159112,6.782323156445767,622879.8702795516,5438.638626005828,40432.29161659188,1.9589274338554827
7,0 days 00:21:49.007000,11,0 days 00:01:28.147000,7.0,,,0 days 00:00:24.602000,0 days 00:00:33.482000,0 days 00:00:30.063000,0 days 00:20:45.477000,0 days 00:21:18.959000,0 days 00:21:49.022000,243.0,224.0,281.0,324.0,True,SOFT,6.0,True,Force India,0 days 00:20:20.860000,2018-05-13 13:26:27.684,1,13.0,False,0.0,False,True,88.147,24.602,33.482,30.063,1245.477,1278.959,1309.022,1309.007,1220.86,187.30451943340117,327.0,67.89787403581535,10274.44594832473,12965.0,57.97165537381705,41.56064763915642,0.23458646616541354,156.0,1.0,665.0,46.41755816363375,0.1680555555540195,4.598496240601504,8.0,0,-34.36999999999999,605.066,0.10606060606060606,18,0.3333333333333333,-12.0,4.420000000000002,121.01320000000001,18.94303501818016,0.0,27.5,-20.5,0.021089234425549486,3.5315137523037237,614039.736058184,10858.353050551552,29219.50503161058,3.9501089192958867
8,0 days 00:23:15.864000,11,0 days 00:01:26.857000,8.0,,,0 days 00:00:24.410000,0 days 00:00:33.059000,0 days 00:00:29.388000,0 days 00:22:13.432000,0 days 00:22:46.491000,0 days 00:23:15.879000,244.0,228.0,280.0,323.0,True,SOFT,7.0,True,Force India,0 days 00:21:49.007000,2018-05-13 13:27:55.831,1,13.0,False,0.0,False,True,86.857,24.41,33.059,29.388,1333.432,1366.491,1395.879,1395.864,1309.007,189.99024904951187,328.0,67.01615827654969,9944.608054162212,12505.0,58.92105832190782,41.629513729564735,0.243531202435312,160.0,0.9984779299847792,656.0,83.765533691835,1.2577777777114534,4.885844748858448,8.0,0,-1.2900000000000063,691.923,0.12121212121212122,18,0.3888888888888889,-11.0,3.1299999999999955,111.8414,22.607715481666865,-10.083300000000001,27.5,-19.5,0.011797247730846581,3.4347303240069604,631786.0752516463,11194.426544840082,30398.4398479219,2.241362034482331
9,0 days 00:24:41.504000,11,0 days 00:01:25.640000,9.0,,,0 days 00:00:23.903000,0 days 00:00:32.414000,0 days 00:00:29.323000,0 days 00:23:39.782000,0 days 00:24:12.196000,0 days 00:24:41.519000,246.0,240.0,281.0,316.0,True,SOFT,8.0,True,Force India,0 days 00:23:15.864000,2018-05-13 13:29:22.688,1,13.0,False,0.0,False,True,85.64,23.903,32.414,29.323,1419.782,1452.196,1481.519,1481.504,1395.864,192.88090961842067,319.0,66.1419121989748,10081.502470427444,12584.0,61.21258775919314,41.35686218717794,0.22981366459627328,148.0,0.8198757763975155,528.0,106.75827546131802,0.1294444442974054,4.916149068322981,8.0,0,-1.2169999999999987,777.563,0.13636363636363635,18,0.4444444444444444,-10.0,1.9129999999999967,102.127,20.968172178327794,-13.403699999999999,27.5,-18.5,0.009280029730607278,2.723321244155307,599210.2055460076,11806.739607090576,28546.37462352626,1.7899405757255193
10,0 days 00:26:06.216000,11,0 days 00:01:24.712000,10.0,,,0 days 00:00:23.583000,0 days 00:00:32.216000,0 days 00:00:28.913000,0 days 00:25:05.102000,0 days 00:25:37.318000,0 days 00:26:06.231000,265.0,246.0,284.0,317.0,True,SOFT,9.0,True,Force India,0 days 00:24:41.504000,2018-05-13 13:30:48.328,1,13.0,False,0.0,False,True,84.712,23.583,32.216,28.913,1505.102,1537.318,1566.231,1566.216,1481.504,196.10680952953933,320.0,66.29682432159727,10074.846596494523,12473.0,63.28178270063531,41.46611648355884,0.2283464566929134,145.0,0.3968503937007874,252.0,128.82062249042124,0.2099999997662962,5.075590551181103,8.0,0,-0.9279999999999973,862.275,0.15151515151515152,18,0.5,-9.0,0.9849999999999994,93.5746,16.230766041687605,-11.9328,27.5,-17.5,0.007702936411923187,1.2784946425822703,608330.2784169193,12409.988506763186,28435.487381783205,1.5105982837511736
